"日期","收市","開市","高","低","成交量","更改%"
"2013年7月15日","93.1","93.1","93.1","93.1","-","3.07%"
"2013年7月14日","90.4","90.4","90.4","90.4","-","-1.12%"
"2013年7月13日","91.4","91.4","91.4","91.4","-","3.31%"
"2013年7月12日","88.5","88.5","88.5","88.5","-","-3.03%"
"2013年7月11日","91.2","91.2","91.2","91.2","-","7.94%"
"2013年7月10日","84.5","84.5","84.5","84.5","-","13.86%"
"2013年7月9日","74.2","74.2","74.2","74.2","-","-0.46%"
"2013年7月8日","74.6","74.6","74.6","74.6","-","2.83%"
"2013年7月7日","72.5","72.5","72.5","72.5","-","8.47%"
"2013年7月6日","66.8","66.8","66.8","66.8","-","0.77%"
"2013年7月5日","66.3","66.3","66.3","66.3","-","-14.60%"
"2013年7月4日","77.7","77.7","77.7","77.7","-","1.03%"
"2013年7月3日","76.9","76.9","76.9","76.9","-","-12.29%"
"2013年7月2日","87.7","87.7","87.7","87.7","-","3.60%"
"2013年7月1日","84.6","84.6","84.6","84.6","-","-13.23%"
"2013年6月30日","97.5","97.5","97.5","97.5","-","2.64%"
"2013年6月29日","95.0","95.0","95.0","95.0","-","0.36%"
"2013年6月28日","94.7","94.7","94.7","94.7","-","-6.96%"
"2013年6月27日","101.7","101.7","101.7","101.7","-","-2.17%"
